nr poc;z;odj.;do;przyj.;typ taboru;ilość;termin kursowania
91482/3;BŁONIE;08:08;WARSZAWA GŁÓWNA;08:37;EN57ALwKM;2;29 I-5 II (D)
91480/1;BŁONIE;08:16;WARSZAWA WSCHODNIA;09:06;EN57AKMw1;2;3-4 II
12470/1;BŁONIE;09:09;DĘBLIN;11:40;EN57ALwKM;2;3-4 II
93560/1;BŁONIE;10:11;PILAWA;11:56;EN57AKMw1;2;29 I-5 II
12472/3;BŁONIE;11:11;DĘBLIN;13:39;45WEkm;2;3-4 II
12472/3;BŁONIE;11:11;DĘBLIN;13:39;EN57AKMw1;2;29 I-5 II (D)
93562/3;BŁONIE;12:11;PILAWA;13:57;EN57AKMw1;2;29 I-5 II
12474/5;BŁONIE;13:10;DĘBLIN;15:47;EN57AKMw1;2;29 I-5 II
93564/5;BŁONIE;14:11;PILAWA;15:58;EN57AKMw1;2;3-4 II
12448/9;BŁONIE;14:11;DĘBLIN;16:42;EN57AKMw1;2;29 I-5 II (D)
12476/7;BŁONIE;14:58;DĘBLIN;17:32;EN57AKMw1;2;3-4 II
12478/9;BŁONIE;16:11;DĘBLIN;18:41;EN57AKMw1;2;3-4 II
12480/1;BŁONIE;17:12;DĘBLIN;19:45;EN57AKMw1;2;29 I-5 II
12482/3;BŁONIE;18:08;DĘBLIN;20:39;EN57AKMw1;2;29 I-5 II (D)
12482/3;BŁONIE;18:11;DĘBLIN;20:39;45WEkm;2;3-4 II
12484/5;BŁONIE;19:05;DĘBLIN;21:44;EN57AKMw1;2;29 I-5 II
91540;CELESTYNÓW;05:25;WARSZAWA WSCHODNIA;06:11;ER160;2;29 I-5 II (D)
91542/3;CELESTYNÓW;06:48;WARSZAWA WSCHODNIA;07:33;ER160;2;29 I-5 II (D)
91544/5;CELESTYNÓW;07:48;WARSZAWA WSCHODNIA;08:33;ER160;2;29 I-5 II (D)
91546/7;CELESTYNÓW;15:44;WARSZAWA WSCHODNIA;16:32;ER160;2;29 I-5 II (D)
91548/9;CELESTYNÓW;16:43;ŁOWICZ GŁÓWNY;19:24;ER160;2;29 I-5 II (D)
91550;CELESTYNÓW;17:22;WARSZAWA WSCHODNIA;18:10;ER160;2;29 I-5 II (D)
91550;CELESTYNÓW;18:23;WARSZAWA WSCHODNIA;19:08;ER160;2;4 II
91552/3;CELESTYNÓW;19:48;ŁOWICZ GŁÓWNY;22:08;ER160;2;29 I-5 II (D)
91230;CHORZELE;04:23;OSTROŁĘKA;05:12;SN82;1;29 I-5 II
91232;CHORZELE;06:33;OSTROŁĘKA;07:22;SN82;1;29 I-5 II
91234;CHORZELE;08:51;OSTROŁĘKA;09:40;SN82;1;29 I-5 II
91236;CHORZELE;11:11;OSTROŁĘKA;12:00;SN82;1;3-4 II
91236;CHORZELE;11:11;OSTROŁĘKA;12:00;SN83;1;29 I-5 II (D)
91238;CHORZELE;14:46;OSTROŁĘKA;15:35;SN83;1;29 I-5 II
91240;CHORZELE;16:52;OSTROŁĘKA;17:47;SN83;1;29 I-5 II (B)
91242;CHORZELE;18:01;OSTROŁĘKA;18:50;SA222;1;4 II
